customer,Age,Education,Employ,Address,Income,Leverage,Creddebt,OthDebt,MonthlyLoad,Default,OthDebtRatio
10012,28,Med,7,2.0,44.0,17.7,2.99,4.8,0.58,0,0.10909090909090909
10017,64,Posg,34,17.0,116.0,14.7,5.05,12.0,0.27,0,0.10344827586206896
10030,40,Bas,20,12.0,61.0,4.8,1.04,1.89,0.13,0,0.030983606557377048
10039,30,Bas,11,3.0,27.0,34.5,1.75,7.56,1.62,0,0.27999999999999997
10069,25,Bas,2,2.0,30.0,22.4,0.76,5.96,0.97,1,0.19866666666666666
10071,35,Bas,2,9.0,38.0,10.9,1.46,2.68,0.4,1,0.07052631578947369
10096,26,SupInc,2,4.0,38.0,11.9,0.95,3.57,0.43,1,0.09394736842105263
10128,25,Bas,4,2.0,30.0,14.4,1.05,3.27,0.62,0,0.109
10129,65,SupCom,29,14.0,189.0,5.0,3.36,6.09,0.08,0,0.03222222222222222
10140,21,SupInc,0,0.0,23.0,3.9,0.31,0.59,0.21,0,0.025652173913043478
10142,62,Bas,33,13.0,96.0,17.5,6.69,10.11,0.36,0,0.10531249999999999
10169,30,SupCom,4,3.0,39.0,10.6,2.39,1.74,0.38,1,0.04461538461538461
10197,38,Posg,7,7.0,124.0,19.1,9.52,14.16,0.35,0,0.11419354838709678
10200,18,Med,0,0.0,35.0,3.9,0.17,1.19,0.15,0,0.033999999999999996
10218,53,Bas,9,13.0,41.0,13.3,2.33,3.12,0.46,0,0.07609756097560975
10234,18,Med,0,0.0,15.0,7.4,0.83,0.28,0.57,1,0.018666666666666668
10351,18,Med,0,0.0,56.0,15.7,1.84,6.95,0.44,1,0.12410714285714286
10423,19,Bas,2,0.0,31.0,0.3,0.02,0.0,0.01,1,0.0
10428,19,Med,0,0.0,26.0,5.8,0.59,0.92,0.28,1,0.03538461538461539
10449,56,Med,27,21.0,125.0,8.5,2.9,7.72,0.15,0,0.061759999999999995
10455,21,Med,1,1.0,40.0,7.6,1.52,1.52,0.27,1,0.038
10474,25,Bas,8,3.0,37.0,8.3,0.95,2.12,0.31,0,0.0572972972972973
10525,47,SupInc,8,10.0,43.0,6.1,0.36,2.26,0.2,0,0.05255813953488372
10564,40,SupCom,17,11.0,103.0,13.3,10.41,3.29,0.26,1,0.03194174757281554
10567,41,Med,16,11.0,56.0,3.4,0.9,1.01,0.09,0,0.018035714285714287
10746,23,SupCom,0,2.0,118.0,6.4,0.29,7.26,0.12,0,0.06152542372881356
10775,45,Posg,1,4.0,58.0,15.4,2.37,6.57,0.42,1,0.11327586206896552
10776,37,SupInc,15,10.0,65.0,5.0,1.3,1.95,0.13,0,0.03
10797,47,Med,23,14.0,46.0,11.7,0.84,4.54,0.37,0,0.09869565217391305
10798,23,SupCom,0,2.0,42.0,6.7,1.58,1.23,0.23,0,0.029285714285714286
10800,18,Med,0,0.0,19.0,5.2,0.32,0.67,0.33,1,0.035263157894736843
10802,19,Med,0,0.0,21.0,2.0,0.28,0.14,0.12,1,0.006666666666666667
10805,41,Bas,3,12.0,23.0,10.6,0.15,2.29,0.57,1,0.09956521739130435
10824,42,Med,3,12.0,76.0,5.2,0.72,3.23,0.12,1,0.0425
10839,29,SupCom,2,3.0,45.0,3.0,0.67,0.68,0.1,0,0.015111111111111112
10870,24,SupCom,0,2.0,41.0,8.4,0.79,2.66,0.29,0,0.06487804878048781
10884,45,Posg,9,11.0,48.0,10.2,3.53,1.37,0.31,0,0.02854166666666667
10887,39,SupCom,8,9.0,259.0,7.2,1.55,17.1,0.1,0,0.06602316602316603
10893,40,Med,15,6.0,46.0,10.6,0.82,4.06,0.34,0,0.08826086956521738
10927,21,SupInc,0,0.0,17.0,17.6,1.37,1.62,1.21,1,0.09529411764705883
10935,55,SupInc,34,16.0,150.0,9.9,0.73,14.12,0.17,0,0.09413333333333333
11045,29,Med,6,4.0,35.0,3.3,0.2,0.96,0.13,1,0.027428571428571427
11057,22,SupInc,0,0.0,24.0,5.2,0.28,0.97,0.27,1,0.04041666666666666
11080,58,SupCom,24,18.0,70.0,6.8,2.3,2.46,0.17,0,0.03514285714285714
11199,53,Med,14,19.0,67.0,6.1,1.06,3.02,0.15,0,0.045074626865671645
11267,31,SupInc,5,7.0,25.0,6.8,0.43,1.27,0.34,0,0.0508
11288,26,Bas,4,2.0,23.0,6.9,0.17,1.42,0.37,0,0.06173913043478261
11307,23,SupCom,0,0.0,28.0,19.2,1.72,3.66,0.88,1,0.13071428571428573
11329,25,Med,1,3.0,19.0,28.6,2.34,3.1,1.79,1,0.1631578947368421
11337,52,SupInc,23,10.0,153.0,4.5,2.12,4.76,0.07,0,0.03111111111111111
11344,25,SupInc,0,1.0,35.0,9.7,0.13,3.26,0.37,1,0.09314285714285714
11363,22,SupCom,0,1.0,31.0,22.8,1.31,5.75,0.96,1,0.18548387096774194
11423,38,SupInc,8,8.0,35.0,26.4,3.78,5.46,1.02,0,0.156
11461,42,Med,16,11.0,49.0,9.7,0.56,4.2,0.3,0,0.08571428571428572
11466,52,Bas,5,18.0,36.0,9.8,1.4,2.13,0.37,0,0.059166666666666666
11472,30,Bas,2,3.0,18.0,3.0,0.07,0.47,0.2,1,0.02611111111111111
11475,59,SupCom,20,16.0,144.0,3.4,2.49,2.4,0.06,0,0.016666666666666666
11512,34,SupInc,5,5.0,44.0,5.6,0.74,1.72,0.18,0,0.03909090909090909
11557,33,Bas,11,6.0,52.0,9.1,0.95,3.79,0.27,1,0.07288461538461538
11569,26,SupInc,2,3.0,21.0,8.2,0.54,1.18,0.47,0,0.056190476190476187
11628,25,SupInc,2,1.0,26.0,11.9,1.24,1.86,0.58,1,0.07153846153846154
11652,19,Med,0,0.0,43.0,21.2,3.43,5.69,0.71,1,0.13232558139534883
11661,41,Posg,7,12.0,47.0,5.2,1.64,0.81,0.16,0,0.01723404255319149
11690,36,Med,2,9.0,27.0,9.3,0.74,1.78,0.44,1,0.06592592592592593
11703,20,Med,0,0.0,21.0,10.2,0.55,1.59,0.59,0,0.07571428571428572
11712,35,Med,6,5.0,26.0,2.5,0.45,0.2,0.12,0,0.007692307692307693
11755,33,SupCom,3,4.0,34.0,1.2,0.23,0.18,0.05,0,0.005294117647058823
11783,38,SupCom,0,12.0,37.0,2.0,0.1,0.64,0.07,0,0.017297297297297298
11809,40,Med,6,6.0,36.0,6.6,1.58,0.8,0.25,1,0.022222222222222223
11852,39,Med,7,6.0,82.0,17.4,3.71,10.56,0.39,0,0.12878048780487805
11859,18,Med,0,0.0,12.0,8.2,0.15,0.83,0.77,1,0.06916666666666667
11860,66,Bas,40,17.0,149.0,13.1,7.79,11.73,0.22,0,0.0787248322147651
11897,43,Med,6,6.0,40.0,6.6,0.5,2.14,0.23,0,0.053500000000000006
11916,39,SupCom,14,8.0,46.0,6.5,0.5,2.49,0.21,0,0.0541304347826087
11941,27,SupInc,5,4.0,27.0,10.5,0.99,1.84,0.49,0,0.06814814814814815
11964,47,SupInc,17,13.0,111.0,8.8,5.73,4.03,0.17,0,0.03630630630630631
11973,25,Bas,9,3.0,25.0,23.5,0.34,5.53,1.17,1,0.2212
11995,57,SupInc,7,14.0,43.0,20.8,2.5,6.45,0.69,1,0.15
12099,69,Bas,6,24.0,60.0,18.6,1.27,9.89,0.5,0,0.16483333333333333
12104,20,SupInc,0,0.0,22.0,4.2,0.54,0.39,0.23,1,0.017727272727272727
12110,42,Bas,15,7.0,60.0,6.1,2.01,1.65,0.16,0,0.0275
12133,33,Med,12,5.0,70.0,5.7,0.83,3.16,0.14,0,0.045142857142857144
12149,41,Med,10,7.0,29.0,4.2,0.47,0.74,0.19,0,0.025517241379310343
12157,35,SupInc,0,7.0,36.0,4.7,0.55,1.15,0.18,0,0.03194444444444444
12239,46,SupInc,20,16.0,122.0,6.7,2.89,5.28,0.12,0,0.043278688524590166
12382,24,SupCom,0,1.0,27.0,4.2,0.44,0.69,0.2,0,0.025555555555555554
12439,34,SupInc,7,8.0,43.0,30.3,3.92,9.11,1.01,1,0.21186046511627907
12540,36,Med,7,4.0,41.0,18.9,3.18,4.57,0.65,0,0.11146341463414634
12596,19,Bas,0,0.0,18.0,15.1,0.79,1.92,0.99,1,0.10666666666666666
12638,29,Posg,1,4.0,51.0,1.3,0.28,0.38,0.04,0,0.007450980392156863
12687,44,Med,7,9.0,59.0,8.4,1.77,3.19,0.23,0,0.05406779661016949
12710,19,Med,0,0.0,28.0,11.7,0.82,2.45,0.53,0,0.08750000000000001
12729,39,Bas,2,9.0,29.0,3.7,0.48,0.6,0.16,0,0.020689655172413793
12759,30,SupCom,5,5.0,222.0,2.9,1.97,4.47,0.04,0,0.020135135135135134
12779,72,Med,44,13.0,187.0,9.2,4.71,12.49,0.14,0,0.06679144385026738
12841,18,Med,0,0.0,30.0,7.0,0.81,1.29,0.3,1,0.043000000000000003
12910,28,SupInc,7,5.0,30.0,8.5,0.46,2.09,0.37,0,0.06966666666666667
12946,24,Bas,5,2.0,27.0,10.0,1.29,1.41,0.47,0,0.05222222222222222
13005,33,Med,8,4.0,45.0,12.1,0.11,5.34,0.39,0,0.11866666666666667
13013,34,SupCom,11,4.0,132.0,4.7,1.51,4.69,0.08,0,0.03553030303030303
60060,46,SupCom,7,16.0,41.0,2.5,0.35,0.67,0.09,0,0.016341463414634147
60063,36,Med,16,4.0,96.0,12.2,5.42,6.29,0.25,0,0.06552083333333333
60070,45,Bas,13,7.0,65.0,28.6,10.73,7.86,0.73,1,0.12092307692307692
60087,59,Bas,34,26.0,154.0,8.5,8.33,4.76,0.14,0,0.030909090909090907
60090,35,Med,9,1.0,80.0,12.9,4.28,6.04,0.29,1,0.0755
60112,62,SupCom,31,22.0,387.0,15.0,5.4,52.65,0.19,0,0.13604651162790699
60199,29,SupCom,1,4.0,38.0,4.5,0.82,0.89,0.16,1,0.023421052631578947
60220,56,SupInc,30,14.0,167.0,1.4,0.46,1.88,0.02,0,0.01125748502994012
60229,24,Med,4,1.0,39.0,21.5,3.97,4.42,0.77,1,0.11333333333333333
60237,32,SupInc,1,6.0,45.0,13.9,1.51,4.74,0.45,1,0.10533333333333333
60256,25,Med,6,2.0,29.0,5.9,0.64,1.07,0.26,0,0.03689655172413793
60309,37,Bas,9,6.0,33.0,1.2,0.11,0.28,0.05,0,0.008484848484848486
60324,27,SupInc,1,2.0,28.0,23.5,0.82,5.76,1.07,0,0.2057142857142857
60346,56,Med,37,10.0,160.0,11.4,6.77,11.47,0.19,0,0.0716875
60410,31,Med,11,6.0,61.0,34.4,9.48,11.5,0.91,1,0.1885245901639344
60435,59,Bas,31,15.0,86.0,6.8,1.61,4.23,0.15,0,0.04918604651162791
60494,65,SupInc,26,16.0,186.0,4.2,2.98,4.83,0.06,0,0.02596774193548387
60497,26,Bas,0,3.0,29.0,16.9,3.09,1.81,0.75,1,0.06241379310344828
60499,27,SupInc,3,4.0,68.0,24.9,5.23,11.7,0.62,1,0.17205882352941176
60515,30,Bas,6,3.0,22.0,15.5,0.13,3.28,0.86,1,0.14909090909090908
60625,43,Bas,22,13.0,96.0,1.2,0.34,0.81,0.02,0,0.0084375
60634,30,SupCom,4,5.0,64.0,14.1,2.83,6.19,0.36,0,0.09671875
60657,18,Med,0,0.0,19.0,14.0,0.56,2.1,0.88,1,0.1105263157894737
60686,24,SupInc,1,1.0,33.0,14.0,0.06,4.56,0.56,0,0.13818181818181818
60777,31,SupCom,0,6.0,28.0,4.5,0.07,1.19,0.21,0,0.042499999999999996
60925,25,Bas,4,3.0,31.0,3.1,0.37,0.59,0.13,0,0.01903225806451613
60937,24,SupCom,0,2.0,48.0,1.2,0.06,0.51,0.04,1,0.010625
60942,26,SupInc,2,3.0,37.0,3.1,0.35,0.8,0.11,0,0.021621621621621623
60944,33,Med,13,5.0,54.0,16.2,2.88,5.87,0.46,1,0.1087037037037037
60947,44,SupCom,18,9.0,136.0,4.2,1.42,4.3,0.07,0,0.03161764705882353
60949,18,Med,0,0.0,16.0,6.0,0.4,0.56,0.44,0,0.035
60980,29,SupInc,1,2.0,34.0,15.5,0.39,4.88,0.61,1,0.14352941176470588
61081,21,SupInc,0,1.0,27.0,16.5,1.16,3.3,0.78,0,0.12222222222222222
61231,41,Med,22,13.0,54.0,4.1,0.82,1.39,0.12,0,0.025740740740740738
61255,40,SupCom,11,8.0,238.0,7.9,6.34,12.47,0.11,0,0.05239495798319328
61272,37,Bas,5,10.0,21.0,14.5,0.71,2.33,0.84,0,0.11095238095238096
61437,24,Bas,6,3.0,36.0,13.2,1.92,2.83,0.5,0,0.07861111111111112
61475,24,SupCom,0,4.0,18.0,2.9,0.18,0.34,0.19,0,0.01888888888888889
61481,18,Med,0,0.0,25.0,2.9,0.56,0.16,0.14,0,0.0064
61510,30,SupCom,5,6.0,95.0,7.0,3.46,3.19,0.14,0,0.033578947368421055
61513,36,Bas,4,8.0,45.0,13.2,0.33,5.61,0.43,0,0.12466666666666668
61536,34,Bas,14,9.0,39.0,11.4,2.71,1.73,0.41,0,0.04435897435897436
61605,63,SupInc,8,25.0,92.0,5.6,0.89,4.27,0.12,0,0.04641304347826086
61632,56,Posg,16,19.0,232.0,2.8,2.1,4.39,0.04,0,0.018922413793103447
61637,41,Med,9,8.0,68.0,28.3,4.52,14.72,0.7,1,0.21647058823529414
61638,23,SupCom,0,1.0,53.0,3.0,0.63,0.96,0.09,1,0.018113207547169812
61685,25,Posg,0,3.0,32.0,14.6,1.45,3.22,0.6,1,0.100625
61722,22,Bas,1,1.0,22.0,3.2,0.16,0.55,0.18,0,0.025
61760,58,Med,19,9.0,114.0,6.4,0.28,7.02,0.12,0,0.061578947368421046
61791,31,SupInc,7,5.0,53.0,2.7,0.73,0.7,0.08,0,0.01320754716981132
61800,47,Med,6,10.0,40.0,8.7,1.31,2.17,0.3,1,0.05425
61802,55,Med,13,11.0,63.0,17.5,2.56,8.47,0.45,0,0.13444444444444445
61844,39,Med,9,5.0,60.0,9.2,2.08,3.44,0.25,0,0.05733333333333333
61875,27,Posg,0,4.0,30.0,4.3,0.42,0.87,0.19,0,0.029
61881,30,SupInc,7,4.0,60.0,21.6,5.57,7.39,0.58,1,0.12316666666666666
61920,35,Med,6,5.0,32.0,7.6,0.82,1.61,0.31,0,0.0503125
61946,30,SupCom,4,7.0,30.0,9.2,0.89,1.87,0.4,0,0.06233333333333334
61952,19,Med,0,0.0,23.0,8.8,1.11,0.92,0.47,0,0.04
61972,38,SupCom,14,4.0,98.0,16.5,1.34,14.83,0.33,0,0.1513265306122449
61980,20,Med,1,0.0,19.0,8.0,0.78,0.74,0.5,0,0.03894736842105263
62038,43,Med,14,8.0,61.0,10.8,2.17,4.41,0.28,0,0.07229508196721311
62060,25,Med,2,3.0,25.0,9.9,1.4,1.08,0.5,0,0.0432
62074,41,Bas,11,5.0,36.0,10.2,1.37,2.31,0.39,1,0.06416666666666666
62109,37,SupInc,3,4.0,36.0,6.7,0.68,1.73,0.25,0,0.04805555555555555
62155,22,Bas,0,2.0,17.0,3.7,0.14,0.49,0.25,1,0.028823529411764706
62168,23,Med,0,3.0,27.0,17.6,2.13,2.62,0.83,1,0.09703703703703705
62184,45,SupCom,1,8.0,60.0,9.9,1.14,4.8,0.26,1,0.08
62219,19,Bas,1,0.0,20.0,8.8,0.55,1.21,0.53,0,0.0605
62223,26,Med,6,3.0,23.0,13.6,0.13,3.0,0.73,0,0.13043478260869565
62229,25,SupCom,0,2.0,21.0,22.3,1.68,3.01,1.29,1,0.1433333333333333
62238,49,SupCom,1,8.0,51.0,11.2,1.86,3.85,0.33,0,0.07549019607843137
62301,76,Bas,15,20.0,26.0,5.6,0.14,1.32,0.27,0,0.050769230769230775
62380,28,SupInc,1,3.0,16.0,5.2,0.5,0.33,0.38,0,0.020625
62399,37,Bas,18,8.0,36.0,4.8,0.44,1.29,0.18,0,0.035833333333333335
62406,41,Bas,9,8.0,29.0,5.6,0.25,1.38,0.25,0,0.04758620689655172
62428,30,Med,8,4.0,68.0,2.4,0.27,1.36,0.06,0,0.02
62534,39,SupInc,4,9.0,78.0,14.0,7.21,3.71,0.32,1,0.04756410256410256
62545,25,SupInc,2,2.0,19.0,3.4,0.19,0.46,0.21,0,0.024210526315789474
62573,26,Posg,0,4.0,19.0,7.7,0.67,0.79,0.48,0,0.041578947368421056
62602,24,Bas,8,2.0,28.0,6.6,0.26,1.59,0.3,0,0.05678571428571429
62610,61,Bas,0,10.0,42.0,18.4,4.01,3.72,0.62,0,0.08857142857142858
62637,26,Med,6,2.0,38.0,10.6,2.57,1.46,0.39,0,0.038421052631578946
62645,18,Med,0,0.0,44.0,9.2,1.25,2.8,0.3,0,0.06363636363636363
62691,41,Med,21,8.0,189.0,6.3,6.22,5.69,0.1,0,0.030105820105820108
62693,49,SupInc,9,16.0,64.0,6.1,0.33,3.57,0.16,0,0.05578125
62744,18,Bas,0,0.0,20.0,3.9,0.37,0.41,0.23,0,0.020499999999999997
62750,18,Med,0,0.0,24.0,6.5,0.3,1.26,0.34,0,0.0525
62792,52,SupCom,2,12.0,96.0,7.1,2.28,4.54,0.15,1,0.04729166666666667
62812,32,Med,2,6.0,30.0,9.4,1.18,1.64,0.41,0,0.05466666666666666
62835,27,Med,6,5.0,42.0,9.1,2.19,1.64,0.31,1,0.039047619047619046
62837,23,SupInc,0,2.0,57.0,17.8,2.73,7.42,0.49,1,0.13017543859649122
62863,29,SupCom,3,3.0,46.0,8.1,0.29,3.44,0.26,0,0.07478260869565218
62867,73,Med,53,25.0,410.0,4.1,3.11,13.7,0.05,0,0.03341463414634146
62923,31,SupCom,3,5.0,22.0,4.6,0.23,0.79,0.26,0,0.03590909090909091
62975,19,Med,0,0.0,28.0,9.1,0.87,1.68,0.42,1,0.06
63023,57,Med,4,9.0,39.0,4.3,0.56,1.12,0.15,0,0.02871794871794872
